date,customer_name,product_name,cost
2023-09-12,Trevor Alvarado,Google Chromecast,722.47
2022-12-23,Christopher Reid,Surface Pro 8,1796.57
2024-03-23,Christopher Bell,PlayStation 5,976.08
2024-03-13,Cameron Paul,Samsung Galaxy S23,692.1
2023-11-17,Michael Mckenzie,Harman Kardon Onyx,103.54
2022-10-20,Kenneth Cantu,HyperX Cloud II,952.47
2024-05-14,Brittany Hayes,Lenovo Tab P11,1686.91
2023-01-21,Shelby Jackson DDS,Le Creuset Dutch Oven,501.47
2024-03-18,Keith Faulkner,Vizio M-Series Quantum,1887.09
2023-06-30,Peggy Wise,Asus ROG Zephyrus G14,1385.72
2023-08-10,Mr. Joel Diaz,Nikon Z7 II,1075.2
2024-01-04,John Malone,Nikon Z7 II,1369.06
2023-04-10,Matthew Carroll,Sony WF-1000XM4,946.16
2023-04-08,Timothy Wood,Amazon Fire TV Stick 4K,311.2
2023-07-21,Michael Gray,Nikon Z7 II,83.46
2023-05-21,Wendy Schaefer MD,Xbox Series X,65.46
2024-07-04,Tonya Sanchez,Harman Kardon Onyx,727.78
2023-05-23,Daniel Sanchez,Apple Watch Series 8,1665.57
2023-10-30,Matthew Harvey MD,Dell XPS 13,522.98
2024-07-01,Robert Clark,Ecobee SmartThermostat,845.15
2024-09-08,Angela Valdez,Lenovo Tab P11,1218.99
2023-01-11,Marc Griffith,GHD Platinum+,199.57
2023-11-22,Phillip Torres,Sony WF-1000XM4,460.91
2024-03-27,Margaret Hodges,iPad Air,802.17
2024-06-29,Timothy Booker,Amazon Fire TV Stick 4K,809.44
2024-03-09,Ronald Macias,August Smart Lock,721.13
2024-07-01,Shawn Roberts,Bowers & Wilkins PX7,1606.94
2024-04-22,Terry Holland,Seagate Backup Plus,1370.46
2024-06-13,Shelly Lopez,LaCie Rugged SSD,1873.43
2024-02-25,Nicole Webb,Nintendo Switch,443.3
2022-10-22,Dr. Alexander Rivers,Nintendo Switch,971.73
2023-07-28,Walter Hooper,Revlon One-Step Hair Dryer,1706.28
2023-10-04,Sarah Richardson,Corsair T3 Rush,669.98
2024-05-12,Angela Coleman,Ring Video Doorbell,1586.09
2023-09-09,Samantha Young,Samsung Galaxy S23,1949.74
2023-01-30,Marvin Davis,Oral-B iO Series 9,1842.92
2024-08-26,Phillip Torres,LG C1 OLED TV,1546.09
2023-07-27,Jason Sexton,KitchenAid Stand Mixer,675.43
2023-09-07,Crystal Pierce,Fitbit Charge 5,1046.14
2024-03-08,Steven Wiley,Clarisonic Mia,1166.19
2024-02-27,Vanessa Little,Noblechairs Hero,1453.87
2022-11-12,Amanda Smith,Roomba i7+,1506.92
2022-12-20,Michael Mckenzie,Bowers & Wilkins PX7,1078.04
2023-02-09,Charles Pena,Logitech G Pro X,1964.58
2023-08-07,Diana Hickman DDS,SanDisk Extreme Pro,1027.47
2023-08-30,Joseph Moody,HyperX Cloud II,662.82
2022-12-27,Wendy Schaefer MD,Nintendo Switch,59.1
2023-06-19,Brian Bell,Sony WF-1000XM4,1525.04
2023-08-19,Tara Jones,Nest Learning Thermostat,601.47
2023-03-30,Kathryn Potter,Le Creuset Dutch Oven,1365.12
2023-10-02,Robert Sheppard,Amazon Fire TV Stick 4K,553.73
2024-06-17,Colton Edwards,Samsung Galaxy Buds Pro,1891.7
2024-09-12,Juan Cox,iPhone 14,1236.87
2024-09-28,Brittany Jones,LG Gram 17,1547.96
2023-06-21,Sandra Allen,Google Pixel 7,1460.95
2024-08-24,Rachel Fox,Sony A7 IV,442.45
2023-03-23,Dana Henderson,LG Gram 17,962.42
2024-04-14,Virginia Ramirez,Oral-B iO Series 9,701.35
2023-12-11,David Smith,iPad Air,1786.36
2023-05-23,James White,Instant Pot Duo,1943.22
2023-02-08,Casey Fitzpatrick,Ecobee SmartThermostat,1568.06
2023-01-28,Timothy Erickson,MacBook Pro,1275.81
2024-09-13,James Perez,Apple Watch Series 8,1288.94
2023-08-06,Cindy Smith,Keurig K-Elite,1633.83
2024-04-16,Karl Lowe,Le Creuset Dutch Oven,1565.55
2024-08-27,Richard Wells,Oral-B iO Series 9,460.53
2022-11-16,Edward Rodriguez,Dyson Supersonic,711.77
2022-12-22,Erin Spence,Sony WF-1000XM4,1966.09
2023-11-03,Martin Meza,DJI Mavic Air 2,1757.64
2024-04-18,David Perez,Razer BlackWidow V3,1954.31
2023-06-05,Martin Meza,Harman Kardon Onyx,1371.74
2024-03-28,Janet Rice,Vitamix 5200,1642.44
2024-09-04,Christopher Crawford,Keurig K-Elite,1039.32
2023-06-16,Jill Adams,Secretlab Titan Evo 2022,498.25
2024-03-30,Joshua Roberts,Sennheiser Momentum 3,1995.56
2023-01-12,Tina Scott,Nintendo Switch,136.71
2024-10-16,Mary Miller,Samsung Galaxy S23,1516.35
2024-02-10,Steven Williams,HP Omen 15,339.91
2023-05-12,Paul Guerrero,Amazon Fire TV Stick 4K,607.53
2023-02-14,Christopher Wallace,MSI GS66 Stealth,1115.31
2023-08-20,Michael Nielsen PhD,Corsair HS80,944.44
2023-05-03,Joseph Johnson,Cuisinart Air Fryer,96.13
2024-06-04,Justin Griffith,Razer BlackWidow V3,726.65
2024-07-09,Briana Bautista,iPad Air,1529.71
2024-06-25,Trevor Alvarado,Apple Watch Series 8,361.91
2024-04-11,Mary Chavez,iPhone 14,1308.13
2023-07-26,Elizabeth Mcintosh,GoPro Hero 10,753.94
2024-03-24,Elizabeth Mcintosh,Razer Kraken,1236.5
2023-05-22,Brenda Evans,Acer Predator Helios 300,1793.12
2023-12-25,Jeffrey Hudson,Canon EOS R5,1686.65
2023-03-19,Dana Henderson,Corsair HS80,1042.85
2023-07-25,Sarah Richardson,Canon EOS R5,810.05
2023-02-25,Patrick Barber,Oral-B iO Series 9,883.82
2023-08-18,Cynthia Moore,Bang & Olufsen Beosound A1,1549.19
2024-09-21,Jason Rogers,Shure SM7B,1842.08
2022-10-26,James Tate,Canon EOS R5,640.58
2023-06-15,Teresa Evans,Bang & Olufsen Beosound A1,216.32
2024-07-06,David Dixon,Apple AirPods Pro,1712.49
2024-02-28,Stephanie Nguyen,Asus ZenBook Duo,1851.92
2023-12-24,Christian Griffith,Dell XPS 13,495.78
2023-01-12,Jessica Daniel,HP Omen 15,690.33
2024-01-02,Wesley Bailey,PlayStation 5,935.41
2024-01-28,Michelle Ramirez DVM,Logitech G Pro X,615.77
2024-07-03,Stephanie Dawson,Razer Kraken,582.23
2024-09-11,Maria Randall,Amazon Fire TV Stick 4K,467.18
2023-04-19,John Tanner,iPad Air,1895.27
2023-03-22,Lisa Short,Lenovo ThinkPad X1,1941.96
2023-05-05,Ronald Fisher,DJI Mavic Air 2,859.65
2024-05-03,Zachary Adkins,Vitamix 5200,572.24
2023-06-02,William Morris,Corsair K95 RGB Platinum,1996.02
2024-09-26,Angela Harper,GoPro Hero 10,528.12
2022-11-29,Alejandro Myers,Ultimate Ears Boom 3,343.38
2024-05-28,Candace Thomas MD,Anova Sous Vide,871.42
2024-10-06,Mackenzie Flores,Le Creuset Dutch Oven,1154.98
2024-06-28,Charles Hampton,Amazon Fire TV Stick 4K,352.69
2024-02-27,Zachary Hicks,Bowers & Wilkins PX7,1193.24
2022-11-10,Rose Peterson,Marshall Stanmore II,1493.97
2022-10-18,Michael Lopez,Asus ROG Zephyrus G14,871.07
2023-08-27,Thomas Hendrix,Le Creuset Dutch Oven,1924.95
2023-11-30,Heather Morales,Lenovo ThinkPad X1,1227.63
2022-11-12,Karen Butler,iPad Air,593.06
2023-01-27,Trevor Thomas,Nest Learning Thermostat,299.44
2024-01-19,Jessica Olson,Apple AirPods Pro,1202.03
2024-01-23,Devin Mahoney,Canon EOS R5,1923.16
2024-01-03,Allen Williams,Shark IQ Robot,447.43
2024-10-13,Susan Lam,Fitbit Charge 5,1086.06
2023-01-02,Corey Phillips,Logitech MX Master 3,1639.12
2023-09-13,Elizabeth Hawkins,SanDisk Extreme Pro,711.05
2023-01-27,Rhonda Bauer,Google Pixel 7,658.25
2024-09-30,Jared Braun,Cuisinart Air Fryer,1266.7
2022-12-31,Danny Harper,Roku Ultra,1063.75
2022-11-14,Christopher Larson,Samsung QN90A,551.12
2024-06-24,Casey Fitzpatrick,Ultimate Ears Boom 3,1914.08
2024-05-04,Christopher Thomas,Dell Alienware m15,1292.71
2024-08-23,Kathleen Griffin,Xbox Series X,931.42
2024-04-06,Tabitha Houston,Samsung Galaxy Buds Pro,1496.01
2024-10-15,John Wells,iPad Air,215.5
2023-09-30,Anne Hayes,Arlo Pro 4,1928.63
2023-03-15,Rachel Mclaughlin,LaCie Rugged SSD,1018.65
2023-04-03,Anthony Simon,Sony WH-1000XM4,1359.36
2023-01-05,Sharon Smith,Corsair HS80,982.33
2022-12-09,James Fowler,Apple Watch Series 8,1315.63
2024-09-14,Benjamin Lopez,Lenovo ThinkPad X1,1045.71
2023-04-15,Matthew Hartman,Acer Predator Helios 300,299.95
2023-04-28,Rebecca Jones,HP Omen 15,1473.24
2024-06-01,Jonathon Brown,Oral-B iO Series 9,350.22
2024-01-28,Theresa Martinez,MacBook Pro,302.65
2023-06-20,Renee Simpson,Acer Predator Helios 300,1498.59
2023-04-06,Justin Tapia,Ecobee SmartThermostat,936.23
2023-04-29,Curtis Carr,Sony WF-1000XM4,1731.59
2023-09-24,Valerie Mckinney,Asus ROG Zephyrus G14,1699.41
2024-06-01,Donna Wagner,Shark IQ Robot,123.3
2023-11-23,Katie Brooks,Roku Ultra,802.51
2024-05-27,Gregory Carroll,SanDisk Extreme Pro,1414.02
2023-03-22,Daniel Sanchez,SteelSeries Rival 600,812.49
2024-09-24,Michelle Alexander,iPad Air,104.96
2023-03-11,Allen Evans,Sony WF-1000XM4,1787.62
2023-10-13,Mary Chavez,Nest Learning Thermostat,1290.94
2024-03-13,William Archer,Samsung Galaxy Watch 5,1033.88
2022-11-06,Dr. Kimberly Wilson,Instant Pot Duo,431.23
2024-04-19,Ashley Edwards,Razer BlackWidow V3,600.29
2022-12-02,Henry Bennett,Philips Sonicare 9900,74.24
2024-07-31,Arthur Nelson,Sony WF-1000XM4,114.51
2023-08-01,Justin Tapia,Clarisonic Mia,1848.59
2023-05-10,Kelsey Moyer,Asus ROG Zephyrus G14,800.59
2024-02-12,David Dixon,LaCie Rugged SSD,778.74
2023-05-05,Ashley Fitzgerald,HP Omen 15,1752.28
2023-04-23,Jason Rogers,Ultimate Ears Boom 3,584.19
2023-12-26,Brittany Jones,Razer Blade 15,1592.66
2023-03-02,Andrew Franco,Anova Sous Vide,1149.18
2024-05-01,Nicolas Moore,Revlon One-Step Hair Dryer,1665.02
2023-08-08,Emily Ferguson,iPad Air,1917.52
2023-01-02,Emily Wallace,Noblechairs Hero,1756.43
2023-04-17,Charles Hansen,Ecobee SmartThermostat,1401.51
2023-11-25,Brenda Maynard,DJI Mavic Air 2,1265.72
2023-07-06,Taylor Ball,Secretlab Titan Evo 2022,1144.25
2023-03-25,Sandra Ford,Shark IQ Robot,1007.18
2024-09-29,Jerry Black,GHD Platinum+,1157.56
2022-11-01,Vickie Monroe,Microsoft Surface Go 3,1658.67
2024-05-15,Shannon Smith,Dyson Supersonic,1130.65
2024-09-03,Mr. Scott Bray,LG C1 OLED TV,1472.7
2023-02-02,Bruce Holden,Logitech G Pro X,408.06
2023-03-04,Shari Calhoun,Bowers & Wilkins PX7,1668.45
2024-09-03,Jesse Bishop,Google Pixel 7,1182.67
2023-07-10,Joshua Campbell,Roomba i7+,1332.92
2023-09-12,Douglas Peterson,Roku Ultra,1536.08
2024-04-19,Anthony Banks,Ring Video Doorbell,1179.66
2024-05-19,Deborah Salazar,Jabra Elite 85h,1232.25
2024-03-03,Catherine Ruiz,Google Chromecast,163.36
2024-06-25,Kylie Clements,Razer Blade 15,1757.99
2024-07-14,Kenneth Wade,LG C1 OLED TV,1480.2
2024-07-30,Brandon Moses,Ultimate Ears Boom 3,1203.74
2022-10-28,Joseph Moody,Nest Learning Thermostat,872.09
2023-04-15,William White,Samsung QN90A,1190.06
2024-05-06,Jane Bird,Lenovo Tab P11,886.0
2022-10-31,Brandon Sanchez,Apple Watch Series 8,580.67
2023-05-25,Robert Griffin,Oral-B iO Series 9,307.51
2024-09-16,Kenneth Williams,Dyson Supersonic,715.64
2022-10-19,Margaret Hodges,Dell Alienware m15,951.94
2024-08-29,Diana Vaughn,MacBook Pro,1416.37
2023-11-20,Adam Burke,Samsung Galaxy Watch 5,1523.35
2024-04-06,Christopher Reid,HP Omen 15,371.84
2024-08-20,Michael Lopez,Breville Bambino,241.96
2022-11-22,Deborah Thomas,Sony WF-1000XM4,1863.82
2024-02-21,Jesse Hamilton,Harman Kardon Onyx,1563.62
2023-10-23,Deborah Taylor,Asus ROG Zephyrus G14,543.11
2024-05-03,William Rogers,Apple Watch Series 8,674.87
2024-02-03,William Morris,SteelSeries Rival 600,245.56
2022-12-21,George Shannon,Samsung Galaxy S23,1840.4
2023-07-04,Larry Watkins,Apple Watch Series 8,1160.39
2022-12-14,Angela Parker,Blue Yeti Microphone,1223.63
2023-06-15,Beth Kim,Vitamix 5200,1286.67
2023-11-01,Randy Villegas,Samsung QN90A,777.43
2024-04-14,Elizabeth Jackson,Asus ROG Zephyrus G14,1580.53
2024-04-01,Phillip Camacho,Samsung Galaxy Buds Pro,478.69
2024-04-22,Jenna Johnson,Blue Yeti Microphone,575.77
2024-06-22,Susan Landry,Cuisinart Air Fryer,471.57
2023-03-25,Briana Bautista,Marshall Stanmore II,1350.45
2023-09-27,Daniel Sanchez,Asus ROG Zephyrus G14,1509.35
2023-11-16,Lawrence Sweeney,Roku Ultra,1794.41
2024-06-04,Kimberly Martinez,Oral-B iO Series 9,1935.15
2024-08-26,Sandra Thomas,Revlon One-Step Hair Dryer,1623.74
2023-01-21,Mr. Joel Diaz,MacBook Pro,1390.88
2022-12-07,Mark Beck,GoPro Hero 10,677.14
2023-06-21,Bruce Potter,Breville Bambino,196.4
2024-01-20,Tracy Freeman,Nikon Z7 II,1099.1
2022-11-17,Erica Martinez,Ring Video Doorbell,799.78
2023-05-01,Margaret Johnson,Bang & Olufsen Beosound A1,1954.24
2024-04-13,Vanessa Haas,Dyson V11 Torque Drive,695.78
2023-01-03,Richard Clark,Bose QuietComfort 45,333.59
2024-04-06,Katelyn Johnson,DJI Mavic Air 2,1423.23
2023-10-30,Stephanie Dawson,Sony A7 IV,1948.56
2024-08-16,Elizabeth Cunningham,Corsair K95 RGB Platinum,1204.53
2023-12-06,Edward Vargas,Ultimate Ears Boom 3,1525.73
2023-11-14,Joshua Castillo,Sony WF-1000XM4,144.99
2024-07-28,Rebecca Hamilton,HyperX Cloud II,1401.27
2024-08-18,Shawn Reeves,Roku Ultra,510.96
2023-02-12,Robert Andrews,Ultimate Ears Boom 3,1972.29
2024-01-25,Joseph Williams,Samsung QN90A,1768.31
2023-12-21,Michael Hamilton,Apple AirPods Pro,1174.93
2024-03-26,Michele Townsend,Instant Pot Duo,1305.27
2023-10-26,David Clark,Noblechairs Hero,1852.41
2024-08-14,Stephen Smith,Lenovo ThinkPad X1,1141.73
2023-06-16,Robert Jacobson,iPhone 14,1856.94
2024-04-17,Maria Morgan,Harman Kardon Onyx,1215.66
2023-02-14,Wendy Rodriguez,Ring Video Doorbell,79.25
2023-05-06,Patricia Strickland,August Smart Lock,61.52
2024-08-22,Michael Gray,Clarisonic Mia,718.04
2023-11-02,Joseph Torres,HP Omen 15,995.46
2023-08-11,Emily Wallace,Razer BlackWidow V3,1726.15
2022-12-31,Sarah Greene,Secretlab Titan Evo 2022,1863.47
2023-09-22,John Hayes,Sonos Beam,1963.06
2024-04-01,Mary Miller,Dell XPS 13,80.65
2023-04-02,Mitchell Smith,Apple Watch Series 8,1138.31
2024-08-04,Casey Brown,MacBook Pro,621.07
2024-08-18,Ricky Henry,MSI GS66 Stealth,208.98
2022-12-12,Pamela Nicholson,Instant Pot Duo,1609.67
2024-06-29,Whitney Cantrell,HP Omen 15,1321.98
2022-10-31,Wendy Schaefer MD,Amazon Fire TV Stick 4K,840.01
2023-05-23,Mr. Anthony Ruiz,Keurig K-Elite,1240.38
2024-03-09,Brandy Todd,Arlo Pro 4,1957.22
2023-07-23,Kristen Mcgee,Microsoft Surface Go 3,756.17
2023-04-17,David Clark,Dyson V11 Torque Drive,1811.59
2024-09-02,Christopher Jones,Dell Alienware m15,1305.99
2024-09-28,Shannon Barnes,Dyson Supersonic,95.99
2023-03-18,Terri Golden MD,Razer Blade 15,1876.97
2023-04-04,Brandon Porter,Logitech Brio,1471.93
2023-09-28,Jennifer Gonzales,Logitech G29,580.16
2022-12-11,Carmen Webb,Apple AirPods Pro,825.82
2024-04-06,Ryan Mendez,August Smart Lock,324.38
2024-08-12,Michael Richardson,Philips Hue Starter Kit,881.51
2023-08-05,Jessica Williams,HP Spectre x360,1328.05
2023-12-28,Lisa Kirk,Amazon Fire TV Stick 4K,629.98
2023-05-15,Charlotte Molina,HP Omen 15,1842.89
2023-05-13,Scott Macdonald,Anova Sous Vide,1917.53
2023-06-17,Maria Howard,Dyson Supersonic,1600.53
2023-07-05,Shawn Wilson,iPhone 14,720.17
2024-01-23,Matthew Molina,iPhone 14,613.96
2024-09-03,Sarah Sheppard,Sony A7 IV,1937.98
2024-10-05,Scott Rogers,Nikon Z7 II,309.78
2023-02-21,Courtney Smith,Samsung T7 Portable SSD,1023.01
2022-11-29,Deborah Wiggins,Sony WH-1000XM4,406.47
2023-01-30,Rebecca Barnes,Samsung Galaxy S23,1505.69
2024-02-08,Amanda Stewart,Arlo Pro 4,1155.75
2024-06-20,Joseph Young,Razer Blade 15,1612.79
2023-01-29,Susan Lam,Shark IQ Robot,784.58
2023-11-01,Daniel Parker,iPad Air,1384.34
2023-03-14,Tiffany Turner,iPad Air,1580.18
2023-04-25,Matthew Harvey MD,Dell XPS 13,874.4
2023-04-11,Samantha Hill,Google Chromecast,202.52
2024-08-09,David Clark,SteelSeries Rival 600,1001.4
2024-01-27,Trevor Brown,Samsung Galaxy Watch 5,126.45
2024-09-11,Casey Brown,Samsung QN90A,1049.34
2022-10-23,Nicole Rivera,Asus ROG Zephyrus G14,72.6
2023-04-09,Veronica Williams,DJI Mavic Air 2,630.55
2024-03-13,William Lopez,Nintendo Switch,120.73
2024-07-29,Peggy Jones,Surface Pro 8,496.35
2023-12-29,Valerie Mckinney,Samsung QN90A,136.33
2023-02-24,Adam Burke,Canon EOS R5,1036.41
2024-07-10,Jane Bird,Asus ZenBook Duo,1325.53
2024-07-20,Anita Christensen,Nest Learning Thermostat,1292.15
2023-03-23,Sheri Miller,Bowers & Wilkins PX7,602.68
2023-04-02,Brooke Salazar,Anova Sous Vide,1457.03
2023-07-28,Brett Dixon,Surface Pro 8,1592.84
2022-12-15,Vanessa Little,Clarisonic Mia,1245.14
2023-06-28,Christopher Thomas,Apple Watch Series 8,686.43
2022-11-24,Veronica Garrison,Revlon One-Step Hair Dryer,1461.69
2023-09-29,Julie Morales,Logitech G Pro X,747.47
2024-09-11,Charles Morris,Lenovo Tab P11,1297.69
2023-12-02,Whitney Rodriguez,LG Gram 17,1077.0
2024-06-28,Christopher Perez,Oral-B iO Series 9,863.46
2023-06-12,James Perry,Lenovo Tab P11,1737.5
2023-07-12,Mary Stephens,Google Chromecast,1457.98
2024-01-24,Christopher Burgess,WD My Passport,531.86
2023-02-04,Larry Watkins,Samsung Galaxy Tab S8,893.99
2022-10-25,Michelle Ramirez DVM,Dell XPS 13,1544.44
2023-10-06,Lori Flores,KitchenAid Stand Mixer,1794.21
2024-04-30,Mr. Douglas Day MD,Sony WF-1000XM4,1175.75
2023-07-23,Robert Jackson,Alienware AW3423DW,1489.83
2023-05-19,Daniel Sanchez,Clarisonic Mia,1791.77
2023-04-14,Lori Griffin,Logitech Brio,1562.13
2024-02-07,Valerie Roach,Breville Bambino,518.4
2024-01-22,Mark Beck,iPhone 14,468.4
2024-08-10,Rebecca Weaver,Razer Kraken,1652.86
2024-05-08,Daniel Rodriguez,Asus ROG Zephyrus G14,1871.44
2024-03-25,Anthony Kennedy,MacBook Pro,1944.67
2023-06-20,Mark Rivas,Keurig K-Elite,1891.29
2024-01-02,Andrew Franco,Samsung Galaxy Buds Pro,79.52
2024-06-06,Mario Kline,Instant Pot Duo,1427.87
2023-06-18,Thomas Adams,MacBook Pro,1379.28
2024-05-18,Christopher Reid,Samsung Galaxy Buds Pro,410.72
2023-02-09,Casey Lewis,GHD Platinum+,230.34
2023-11-01,Kathy Clark,Apple Watch Series 8,1090.88
2023-05-29,Mark Solomon MD,Seagate Backup Plus,336.76
2024-05-27,Katrina Hernandez,Nintendo Switch,933.77
2024-05-20,Ryan Cuevas,Logitech MX Master 3,1703.46
2023-01-26,William Pratt,Instant Pot Duo,1639.83
2023-06-19,James Bowman,Nest Learning Thermostat,1270.74
2023-03-18,Deanna Jackson,Seagate Backup Plus,1910.08
2023-12-23,Angela Stewart,Dell XPS 13,458.57
2023-10-29,Dustin Miller,Blue Yeti Microphone,1051.69
2023-09-08,Nicole Webb,Bowers & Wilkins PX7,119.45
2023-06-12,Joshua Shea,PlayStation 5,160.83
2023-11-08,Kylie Freeman,Noblechairs Hero,1854.12
2023-10-10,Christian Griffith,Nespresso Vertuo,541.79
2023-02-08,Elizabeth Montgomery,DJI Mavic Air 2,1019.53
2024-10-15,Mark Gomez,Corsair K95 RGB Platinum,121.82
2024-09-28,Carl Mcintyre,Alienware AW3423DW,1428.97
2023-11-07,Tara Saunders,DJI Mavic Air 2,454.57
2022-11-03,Courtney Brown,Instant Pot Duo,320.69
2024-04-18,Emily Ferguson,Bose QuietComfort 45,594.68
2024-04-19,Adam Sanchez Jr.,SanDisk Extreme Pro,782.85
2022-10-20,Miranda Gonzalez,Apple AirPods Pro,1819.53
2024-08-31,Julie Johnson,Apple AirPods Pro,493.8
2023-01-01,Justin Griffith,Nest Learning Thermostat,304.88
2024-03-01,Kelsey Taylor,Apple AirPods Pro,1737.53
2024-08-28,Brandy Todd,Fitbit Charge 5,203.11
2023-09-13,Rebecca Weaver,Surface Pro 8,148.25
2023-03-19,Patty Wood,LG C1 OLED TV,1971.27
2024-05-30,Gabrielle Mathews,Samsung T7 Portable SSD,1564.61
2023-08-23,Angela Stewart,Dyson Supersonic,1343.55
2023-07-30,Matthew Alexander,Fitbit Charge 5,1325.88
2024-04-23,Jeff Bates,Logitech MX Master 3,196.59
2024-04-11,Joshua Rodriguez IV,Samsung Galaxy Tab S8,430.82
2023-03-18,Craig Nelson,HP Omen 15,1558.6
